,Movie_Name,Release_Year,Time_mnts,Movie_type,Ratings,Metascore,Votes,Gross_$
216,Ah-ga-ssi,2016,145,"Drama, Romance, Thriller            ",8.1,84,144328,2009999
219,Logan,2017,137,"Action, Drama, Sci-Fi            ",8.1,77,749301,226280000
220,RoomI) ,2015,118,"Drama, Thriller            ",8.1,86,416934,14680000
221,Relatos salvajes,2014,122,"Comedy, Drama, Thriller            ",8.1,77,196934,3110000
222,Mandariinid,2013,87,"Drama, War            ",8.1,73,46286,140000
225,The Grand Budapest Hotel,2014,99,"Adventure, Comedy, Crime            ",8.1,88,797242,59100000
226,Gone Girl,2014,149,"Drama, Mystery, Thriller            ",8.1,79,969852,167770000
228,Hacksaw Ridge,2016,139,"Biography, Drama, History            ",8.1,71,515980,67210000
230, Years a Slave,2013,134,"Biography, Drama, History            ",8.1,96,695154,56670000
231,RushI) ,2013,123,"Action, Biography, Drama            ",8.1,74,476137,26950000
232,Ford v Ferrari,2019,152,"Action, Biography, Drama            ",8.1,81,382858,117620000
233,SpotlightI) ,2015,129,"Biography, Crime, Drama            ",8.1,93,465922,45060000
236,The Help,2011,146,Drama            ,8.1,62,456105,169710000
237,Prisoners,2013,153,"Crime, Drama, Mystery            ",8.1,70,697899,61000000
238,Mad Max: Fury Road,2015,120,"Action, Adventure, Sci-Fi            ",8.1,90,988340,154060000
240,Gran Torino,2008,116,Drama            ,8.1,72,770500,148100000
241,Harry Potter and the Deathly Hallows: Part ,2011,130,"Adventure, Fantasy, Mystery            ",8.1,85,863387,381010000
245,How to Train Your Dragon,2010,98,"Animation, Action, Adventure            ",8.1,75,732497,217580000
246,Chak De! India,2007,153,"Drama, Family, Sport            ",8.1,68,80288,1110000
247,Into the Wild,2007,148,"Adventure, Biography, Drama            ",8.1,73,619322,18350000
249,Million Dollar Baby,2004,132,"Drama, Sport            ",8.1,86,683159,100490000
250,Hotel Rwanda,2004,121,"Biography, Drama, History            ",8.1,79,354502,23530000
251,Ratatouille,2007,111,"Animation, Adventure, Comedy            ",8.1,96,724084,206450000
252,Before Sunset,2004,80,"Drama, Romance            ",8.1,90,262160,5820000
255,Salinui chueok,2003,131,"Crime, Drama, Mystery            ",8.1,82,180184,10000
256,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,"Action, Adventure, Fantasy            ",8.1,63,1114858,305410000
258,Catch Me If You Can,2002,141,"Biography, Crime, Drama            ",8.1,75,963766,164620000
260,Amores perros,2000,154,"Drama, Thriller            ",8.1,83,239697,5380000
263,"Monsters, Inc.",2001,92,"Animation, Adventure, Comedy            ",8.1,79,898925,289920000
264,Lagaan: Once Upon a Time in India,2001,224,"Drama, Musical, Sport            ",8.1,84,114018,70000
265,Festen,1998,105,Drama            ,8.1,82,86934,1650000
266,The Iron Giant,1999,86,"Animation, Action, Adventure            ",8.1,85,193630,23160000
267,The Big Lebowski,1998,117,"Comedy, Crime            ",8.1,71,801028,17500000
268,Fa Yeung Nin Wah,2000,98,"Drama, Romance            ",8.1,85,148271,2730000
269,Trainspotting,1996,93,Drama            ,8.1,83,681985,16500000
270,Fargo,1996,98,"Crime, Thriller            ",8.1,85,672660,24610000
272,Underground,1995,170,"Comedy, Drama, Fantasy            ",8.1,79,58469,170000
274,Before Sunrise,1995,101,"Drama, Romance            ",8.1,77,305038,5540000
275,Trois couleurs: Rouge,1994,99,"Drama, Mystery, Romance            ",8.1,100,102904,4040000
276,In the Name of the Father,1993,133,"Biography, Crime, Drama            ",8.1,84,174340,25010000
277,Groundhog Day,1993,101,"Comedy, Drama, Fantasy            ",8.1,72,624922,70910000
278,Ba wang bie ji,1993,171,"Drama, Music, Romance            ",8.1,83,28977,5220000
281,Dead Poets Society,1989,128,"Comedy, Drama            ",8.1,79,483517,95860000
282,Tonari no Totoro,1988,86,"Animation, Comedy, Family            ",8.1,86,334938,1110000
283,Stand by Me,1986,89,"Adventure, Drama            ",8.1,75,400046,52290000
284,Platoon,1986,120,"Drama, War            ",8.1,92,411904,138530000
286,The Terminator,1984,107,"Action, Sci-Fi            ",8.1,84,856183,38400000
287,"Paris, Texas",1984,145,Drama            ,8.1,80,105797,2180000
288,Gandhi,1982,191,"Biography, Drama            ",8.1,79,230893,52770000
289,Fanny och Alexander,1982,188,Drama            ,8.1,100,63743,4970000
290,Blade Runner,1982,117,"Action, Drama, Sci-Fi            ",8.1,84,761346,32869999
293,The Deer Hunter,1978,183,"Drama, War            ",8.1,86,337626,48980000
294,Rocky,1976,120,"Drama, Sport            ",8.1,70,569878,117240000
298,Jaws,1975,124,"Adventure, Thriller            ",8.1,87,598787,260000000
300,Paper Moon,1973,102,"Comedy, Crime, Drama            ",8.1,77,47711,30930000
301,The Exorcist,1973,122,Horror            ,8.1,81,401116,232910000
303,Cool Hand Luke,1967,127,"Crime, Drama            ",8.1,92,176672,16219999
305,The Sound of Music,1965,172,"Biography, Drama, Family            ",8.1,63,232240,163210000
306,La battaglia di Algeri,1966,121,"Drama, War            ",8.1,96,60072,60000
311,Ben-Hur,1959,212,"Adventure, Drama            ",8.1,90,238442,74700000
317,Du rififi chez les hommes,1955,118,"Crime, Drama, Thriller            ",8.1,97,34440,60000
318,On the Waterfront,1954,108,"Crime, Drama, Thriller            ",8.1,91,154684,9600000
320,Ace in the Hole,1951,111,"Drama, Film-Noir            ",8.1,72,36009,3970000
322,The Third Man,1949,104,"Film-Noir, Mystery, Thriller            ",8.1,97,171216,450000
324,The Best Years of Our Lives,1946,170,"Drama, Romance, War            ",8.1,93,64474,23650000
325,The Shop Around the Corner,1940,99,"Comedy, Drama, Romance            ",8.1,96,33138,200000
326,Rebecca,1940,130,"Drama, Film-Noir, Mystery            ",8.1,86,136828,4360000
327,The Grapes of Wrath,1940,129,Drama            ,8.1,96,93102,60000
328,The Wizard of Oz,1939,102,"Adventure, Family, Fantasy            ",8.1,92,396606,2080000
329,Mr. Smith Goes to Washington,1939,129,"Comedy, Drama            ",8.1,73,115513,9600000
331,It Happened One Night,1934,105,"Comedy, Romance            ",8.1,87,103684,4360000
332,All Quiet on the Western Front,1930,152,"Drama, War            ",8.1,91,61496,3270000
340,La La Land,2016,128,"Comedy, Drama, Music            ",8.0,94,578078,151100000
341,Lion,2016,118,"Biography, Drama            ",8.0,69,235379,51740000
342,The Martian,2015,144,"Adventure, Drama, Sci-Fi            ",8.0,80,842756,228430000
343,MommyI) ,2014,139,Drama            ,8.0,74,56968,3490000
346,Zootopia,2016,108,"Animation, Adventure, Comedy            ",8.0,78,492318,341270000
347,Kis Uykusu,2014,196,Drama            ,8.0,88,51650,170000
349,Kaguya-hime no Monogatari,2013,137,"Animation, Drama, Family            ",8.0,89,46540,1510000
351,The Imitation Game,2014,114,"Biography, Drama, Thriller            ",8.0,71,761133,91130000
352,Guardians of the Galaxy,2014,121,"Action, Adventure, Comedy            ",8.0,76,1162563,333180000
353,Song of the Sea,2014,93,"Animation, Adventure, Drama            ",8.0,85,58292,860000
354,Blade Runner ,2017,164,"Action, Drama, Mystery            ",8.0,81,558614,92050000
355,Her,2013,126,"Drama, Romance, Sci-Fi            ",8.0,91,605264,25570000
356,The Revenant,2015,156,"Action, Adventure, Drama            ",8.0,76,793148,183640000
357,The Perks of Being a Wallflower,2012,103,Drama            ,8.0,67,506894,17740000
358,Tropa de Elite ,2010,115,"Action, Crime, Drama            ",8.0,71,83157,100000
359,The King's Speech,2010,118,"Biography, Drama, History            ",8.0,88,676934,138800000
360,Deadpool,2016,108,"Action, Adventure, Comedy            ",8.0,65,1020039,363070000
363,Dune: Part One,2021,155,"Action, Adventure, Drama            ",8.0,74,608373,108330000
364,Okuribito,2008,130,"Drama, Music            ",8.0,68,52179,1500000
366,Slumdog Millionaire,2008,120,"Crime, Drama, Romance            ",8.0,84,840672,141320000
367,Black Swan,2010,108,"Drama, Thriller            ",8.0,79,758473,106950000
368,Tropa de Elite,2007,115,"Action, Crime, Drama            ",8.0,33,104054,10000
369,The Avengers,2012,143,"Action, Adventure, Sci-Fi            ",8.0,69,1376169,623280000
370,Persepolis,2007,96,"Animation, Biography, Drama            ",8.0,90,94649,4450000
372,The Pursuit of Happyness,2006,117,"Biography, Drama            ",8.0,64,505911,163570000
373,Blood Diamond,2006,143,"Adventure, Drama, Thriller            ",8.0,64,545041,57370000
374,The Bourne Ultimatum,2007,115,"Action, Mystery, Thriller            ",8.0,85,632612,227470000
375,Dare mo shiranai,2004,141,Drama            ,8.0,88,28076,680000
376,Sin City,2005,124,"Crime, Thriller            ",8.0,74,765977,74100000
377,Le scaphandre et le papillon,2007,112,"Biography, Drama            ",8.0,92,107724,5990000
378,Taegukgi hwinalrimyeo,2004,140,"Action, Drama, War            ",8.0,64,39772,1110000
380,Casino Royale,2006,144,"Action, Adventure, Thriller            ",8.0,80,652842,167450000
381,Kill Bill: Vol. ,2004,137,"Action, Crime, Thriller            ",8.0,83,748577,66209999
382,Bom yeoreum gaeul gyeoul geurigo bom,2003,103,"Drama, Romance            ",8.0,85,82946,2380000
383,Mar adentroI) ,2004,126,"Biography, Drama            ",8.0,74,81853,2089999
384,Cinderella Man,2005,144,"Biography, Drama, Romance            ",8.0,69,187609,61650000
385,Mou gaan dou,2002,101,"Action, Crime, Drama            ",8.0,75,124605,170000
386,Big Fish,2003,125,"Adventure, Drama, Fantasy            ",8.0,58,439732,66260000
387,The Incredibles,2004,115,"Animation, Action, Adventure            ",8.0,90,727542,261440000
389,Dogville,2003,178,"Crime, Drama            ",8.0,60,148673,1530000
391,Donnie Darko,2001,113,"Drama, Mystery, Sci-Fi            ",8.0,88,794118,1480000
392,Magnolia,1999,188,Drama            ,8.0,77,311599,22460000
394,The Straight Story,1999,112,"Biography, Drama            ",8.0,86,90457,6200000
395,Pâfekuto burû,1997,81,"Animation, Crime, Drama            ",8.0,67,75238,780000
396,Central do Brasil,1998,110,Drama            ,8.0,80,39706,5600000
397,La leggenda del pianista sull'oceano,1998,169,"Drama, Music, Romance            ",8.0,58,64357,260000
398,"Crna macka, beli macor",1998,127,"Comedy, Crime, Romance            ",8.0,73,53879,350000
399,Sling Blade,1996,135,Drama            ,8.0,84,94009,24480000
400,Secrets & Lies,1996,136,"Comedy, Drama            ",8.0,91,43448,13420000
401,Twelve Monkeys,1995,129,"Mystery, Sci-Fi, Thriller            ",8.0,74,614737,57140000
403,Chung Hing sam lam,1994,102,"Comedy, Crime, Drama            ",8.0,78,80915,600000
405,Scent of a Woman,1992,156,Drama            ,8.0,59,294138,63900000
406,Aladdin,1992,90,"Animation, Adventure, Comedy            ",8.0,86,414221,217350000
407,JFK,1991,189,"Drama, History, Thriller            ",8.0,72,155740,70410000
408,Beauty and the Beast,1991,84,"Animation, Family, Fantasy            ",8.0,95,451593,218970000
409,Dances with Wolves,1990,181,"Adventure, Drama, Western            ",8.0,72,264226,184210000
410,Rain Man,1988,133,Drama            ,8.0,65,511070,178800000
411,Akira,1988,124,"Animation, Action, Drama            ",8.0,67,184974,550000
412,The Princess Bride,1987,98,"Adventure, Family, Fantasy            ",8.0,77,425251,30860000
413,Der Himmel über Berlin,1987,128,"Drama, Fantasy, Romance            ",8.0,79,71062,3330000
414,Au revoir les enfants,1987,104,"Drama, War            ",8.0,88,33915,4540000
416,Kaze no tani no Naushika,1984,117,"Animation, Adventure, Sci-Fi            ",8.0,86,168581,500000
418,Pink Floyd: The Wall,1982,95,"Drama, Fantasy, Music            ",8.0,47,81114,22240000
420,Life of Brian,1979,94,Comedy            ,8.0,77,397529,20050000
421,Being There,1979,130,"Comedy, Drama            ",8.0,83,72583,30180000
422,Annie Hall,1977,93,"Comedy, Romance            ",8.0,92,264983,39200000
423,Dog Day Afternoon,1975,125,"Biography, Crime, Drama            ",8.0,86,256072,50000000
424,Zerkalo,1975,107,"Biography, Drama            ",8.0,80,46612,180000
425,Young Frankenstein,1974,106,Comedy            ,8.0,80,157495,86300000
426,Papillon,1973,151,"Biography, Crime, Drama            ",8.0,58,130545,53270000
430,The Last Picture Show,1971,118,"Drama, Romance            ",8.0,93,48398,29130000
431,Fiddler on the Roof,1971,181,"Drama, Family, Musical            ",8.0,67,43616,80500000
432,Butch Cassidy and the Sundance Kid,1969,110,"Biography, Crime, Drama            ",8.0,66,215392,102310000
434,Planet of the Apes,1968,112,"Adventure, Sci-Fi            ",8.0,79,179769,33400000
436,The Graduate,1967,106,"Comedy, Drama, Romance            ",8.0,83,272359,104950000
440,,1963,138,Drama            ,8.0,91,117683,50000
442,What Ever Happened to Baby Jane?,1962,134,"Drama, Horror, Thriller            ",8.0,75,56334,4050000
446,The Hustler,1961,134,"Drama, Sport            ",8.0,90,82017,8279999
447,La dolce vita,1960,174,"Comedy, Drama            ",8.0,95,73136,19520000
448,Rio Bravo,1959,141,Western            ,8.0,93,62623,12540000
449,Anatomy of a Murder,1959,161,"Drama, Mystery            ",8.0,95,66419,11900000
450,Touch of Evil,1958,95,"Crime, Drama, Film-Noir            ",8.0,99,104415,2240000
453,The Night of the Hunter,1955,92,"Crime, Drama, Film-Noir            ",8.0,99,89409,650000
457,High Noon,1952,85,"Drama, Thriller, Western            ",8.0,89,104210,9450000
462,The Maltese Falcon,1941,100,"Crime, Film-Noir, Mystery            ",8.0,97,158320,2110000
463,Bronenosets Potemkin,1925,75,"Drama, History, Thriller            ",8.0,97,57723,50000
465,Knives Out,2019,130,"Comedy, Crime, Drama            ",7.9,82,609000,165360000
466,Manbiki kazoku,2018,121,"Crime, Drama, Thriller            ",7.9,93,75832,3310000
467,Marriage Story,2019,137,"Drama, Romance            ",7.9,94,303157,2000000
474,Sing Street,2016,106,"Comedy, Drama, Music            ",7.9,79,93568,3240000
475,Thor: Ragnarok,2017,130,"Action, Adventure, Comedy            ",7.9,74,736126,315060000
476,Jojo Rabbit,2019,108,"Comedy, Drama, War            ",7.9,58,380846,350000
477,WonderI) ,2017,113,"Drama, Family            ",7.9,66,163285,132419999
478,ArrivalII) ,2016,116,"Drama, Mystery, Sci-Fi            ",7.9,81,683590,100550000
479,Gully Boy,2019,154,"Drama, Music, Romance            ",7.9,65,39504,5570000
480,Short Term ,2013,96,Drama            ,7.9,82,87840,1010000
481,Serbuan maut ,2014,150,"Action, Crime, Thriller            ",7.9,71,123229,2630000
482,Before Midnight,2013,109,"Drama, Romance            ",7.9,94,157457,8109999
483,X-Men: Days of Future Past,2014,132,"Action, Adventure, Sci-Fi            ",7.9,75,707576,233920000
485,Bohemian Rhapsody,2018,134,"Biography, Drama, Music            ",7.9,49,531334,216430000
486,Hoje Eu Quero Voltar Sozinho,2014,96,"Drama, Romance            ",7.9,71,25539,100000
