,Model,Buy_Year,Location,Engine_CC,No_of_Owners,KMs_Run,price,Date_of_posting,Brand
382,Enfield Classic Gunmetal Grey,2017," Ghaziabad, Uttar Pradesh",346,Single Owner,23578,155000,2022-05-09,Royal Enfield
383,XPulse 200,2021," New Delhi, Delhi",200,Single Owner,35000,120000,2022-05-09,Hero
384,Enfield Meteor 350 Supernova,2021," Nagapattinam, Tamil Nadu",350,Single Owner,5000,225000,2022-05-09,Royal Enfield
385,Avenger Street 150,2017," Nashik, Maharashtra",150,Single Owner,19000,68000,2022-05-09,Bajaj
386,Enfield Classic 350 BS VI,2017," Agra, Uttar Pradesh",350,Single Owner,6000,110000,2022-05-09,Royal Enfield
387,Enfield Classic 350,2016," Dehradun, Utarakhand",346,Single Owner,22500,95000,2022-05-09,Royal Enfield
388,Enfield Classic 350 BS VI,2017," Hyderabad, Telangana",600,Single Owner,44000,138000,2022-04-09,Royal Enfield
389,Dominar 400 Disc,2018," Vadodara, Gujarat",400,Single Owner,35000,120000,2022-04-09,Bajaj
390,Enfield Classic Stealth Black,2018," Imphal West, Manipur",499,Single Owner,21575,170000,2022-04-09,Royal Enfield
391,Adventure,2021, Tamil Nadu,390,Single Owner,2850,350000,2022-04-09,KTM
392,Pulsar RS 200 BS6,2020," Medak, Telangana",3981,Single Owner,11900,125000,2022-08-25,Bajaj
393,Gixxer SF,2019," Kanpur Nagar, Uttar Pradesh",155,Single Owner,1024,110000,2022-08-27,Suzuki
394,Pulsar 150 DTSi,2017," Faridabad, Haryana",150,Single Owner,52000,40000,2022-08-25,Bajaj
396,FZ25,2018," Mumbai, Maharashtra",249,Single Owner,12000,89000,2022-08-27,Yamaha
397,Enfield Classic 350 Single Channel BS6,2021," Rohtak, Haryana",350,Single Owner,23000,170000,2022-08-24,Royal Enfield
398,VXL 150,2018," Lucknow, Uttar Pradesh",150,Single Owner,28000,55000,2022-08-24,Vespa
399,forty two BS6,2020," Hyderabad, Telangana",293,Single Owner,7500,170000,2022-08-24,Jawa
400,Enfield Classic 350 BS VI,2021," Hyderabad, Telangana",350,Single Owner,8600,200000,2022-08-25,Royal Enfield
